CLAVE,MARCA,SUBMARCA,LINEA,DESCRIPCION,DESCRIPCION_LEGIBLE,AÑO,tipo,CLAVE_QUALITAS,CLAVE_HDI,CLAVE_AFIRME,CLAVE_GNP,CLAVE_MAPFRE,CLAVE_ZURICH,CLAVE_AXA,CLAVE_SURA,CLAVE_BANORTE,CLAVE_POTOSI,CLAVE_ANA,CLAVE_AXA_EMMA,CLAVE_ATLAS,CLAVE_GRAL_SEGUROS,CLAVE_ALLIANZ
01010101201,ACURA,ACURA,ADX,ADX A-SPEC L4 IMP AUT 5 ABS CA CE PIEL SM CQ CB,ADX A-SPEC · L4 Aut 5p,2025,AUTO,20013,2389579,116329,AUTAC14022025,100120002,001G6030,ACA019002,,AC033,120-012-02-2025,G0010026,,19814,71191590,
01010101201,ACURA,ACURA,ADX,ADX A-SPEC L4 IMP AUT 5 ABS CA CE PIEL SM CQ CB,ADX A-SPEC · L4 Aut 5p,2026,AUTO,20013,2391917,116417,AUTAC14022026,100120002,001G6030,ACA019002,,AC033,120-012-02-2026,G0010026,,19814,71191590,
01010101202,ACURA,ACURA,ADX,ADX ADVANCE L4 IMP AUT 5 ABS CA CE PIEL SM CQ CB,ADX ADVANCE · L4 Aut 5p,2025,AUTO,20014,2389578,116329,AUTAC14012025,100120002,001G6031,ACA019001,,AC034,120-012-01-2025,G0010027,,19815,71191590,
01010101202,ACURA,ACURA,ADX,ADX ADVANCE L4 IMP AUT 5 ABS CA CE PIEL SM CQ CB,ADX ADVANCE · L4 Aut 5p,2026,AUTO,20014,2391916,116329,AUTAC14012026,100120002,001G6031,ACA019001,,AC034,120-012-01-2026,G0010027,,19815,71191589,
01010100704,ACURA,ACURA,ILX,ILX A-SPEC L4 IMO AUT 4 ABS CA CE PIEL SM CQ CB,ILX A-SPEC · L4 Aut 4p,2016,AUTO,377,2089456,100000,AUTAC08052016,100010001,001G6021,ACA001005,,AC016,120-007-03-2016,G0010007,10823,11392,10787,AACIL0041G
01010100704,ACURA,ACURA,ILX,ILX A-SPEC L4 IMO AUT 4 ABS CA CE PIEL SM CQ CB,ILX A-SPEC · L4 Aut 4p,2017,AUTO,3973,2085168,100000,AUTAC08052017,100010001,001G6021,ACA001005,,AC016,120-007-03-2017,G0010007,10823,11392,71100618,AACIL0041H
01010100704,ACURA,ACURA,ILX,ILX A-SPEC L4 IMO AUT 4 ABS CA CE PIEL SM CQ CB,ILX A-SPEC · L4 Aut 4p,2018,AUTO,3973,2084861,100000,AUTAC08052018,100010001,001G6021,ACA001005,,AC016,120-007-03-2018,G0010007,10823,11392,71100618,AACIL0041J
01010100704,ACURA,ACURA,ILX,ILX A-SPEC L4 IMO AUT 4 ABS CA CE PIEL SM CQ CB,ILX A-SPEC · L4 Aut 4p,2019,AUTO,3973,2087584,100000,AUTAC08052019,100010001,001G6021,ACA001005,,AC016,120-007-03-2019,G0010007,10823,11392,71100617,AACIL0041K
01010100704,ACURA,ACURA,ILX,ILX A-SPEC L4 IMO AUT 4 ABS CA CE PIEL SM CQ CB,ILX A-SPEC · L4 Aut 4p,2020,AUTO,3973,2006615,100000,AUTAC08052020,100010001,001G6021,ACA001005,,AC016,120-007-03-2020,G0010007,10823,11392,71100617,AACIL0041L
01010100703,ACURA,ACURA,ILX,ILX LUXURY L4 IMO AUT 4 ABS CA CE PIEL CD CQ CB,ILX LUXURY · L4 Aut 4p,2014,AUTO,3966,2079609,100001,AUTAC08032014,100010002,001G6018,ACA001004,,AC013,120-007-05-2014,G0010012,10820,10540,71100128,AACIL0031E
01010100701,ACURA,ACURA,ILX,ILX PREMIUM L4 IMO AUT 4 ABS CA CE PIEL CD CQ CB,ILX PREMIUM · L4 Aut 4p,2013,AUTO,8514,2078654,100002,AUTAC08012013,100010003,001G6016,ACA001001,,AC008,120-007-02-2013,G0010008,10817,10066,10872,AACIL0011D
